player_mlbam,player,position,team,team_mlbam,date,award_id,award,ntoes,votes
120438,Gaylord Perry,P,San Francisco Giants,137,1991-11-01,MLBHOF,Hall Of Fame,-,342
111986,Rod Carew,1B,Minnesota Twins,142,1991-11-01,MLBHOF,Hall Of Fame,-,401
117577,Tony Lazzeri,2B,New York Yankees,147,1991-11-01,MLBHOF,Hall Of Fame,-,-
120196,Jim Palmer,P,Baltimore Orioles,110,1990-11-01,MLBHOF,Hall Of Fame,-,411
119371,Joe Morgan,2B,Cincinnati Reds,113,1990-11-01,MLBHOF,Hall Of Fame,-,363
427014,Al Barlick,X,No team,14,1989-11-01,MLBHOF,Hall Of Fame,-,-
124650,Carl Yastrzemski,OF,Boston Red Sox,111,1989-11-01,MLBHOF,Hall Of Fame,-,423
110849,Johnny Bench,C,Cincinnati Reds,113,1989-11-01,MLBHOF,Hall Of Fame,-,431
121851,Red Schoendienst,2B,St. Louis Cardinals,138,1989-11-01,MLBHOF,Hall Of Fame,-,-
122685,Willie Stargell,OF,Pittsburgh Pirates,134,1988-11-01,MLBHOF,Hall Of Fame,-,352
124290,Billy Williams,OF,Chicago Cubs,112,1987-11-01,MLBHOF,Hall Of Fame,-,354
116334,Catfish Hunter,P,No team,14,1987-11-01,MLBHOF,Hall Of Fame,No cap logo on plaque,315
113419,Bobby Doerr,2B,Boston Red Sox,111,1986-11-01,MLBHOF,Hall Of Fame,-,-
117880,Ernie Lombardi,C,Cincinnati Reds,113,1986-11-01,MLBHOF,Hall Of Fame,-,-
118605,Willie McCovey,1B,San Francisco Giants,137,1986-11-01,MLBHOF,Hall Of Fame,-,346
123671,Arky Vaughan,SS,Pittsburgh Pirates,134,1985-11-01,MLBHOF,Hall Of Fame,-,-
122319,Enos Slaughter,OF,St. Louis Cardinals,138,1985-11-01,MLBHOF,Hall Of Fame,-,-
124261,Hoyt Wilhelm,P,San Francisco Giants,137,1985-11-01,MLBHOF,Hall Of Fame,-,331
111495,Lou Brock,OF,St. Louis Cardinals,138,1985-11-01,MLBHOF,Hall Of Fame,-,315
113581,Don Drysdale,P,Los Angeles Dodgers,119,1984-11-01,MLBHOF,Hall Of Fame,-,316
117051,Harmon Killebrew,1B,Minnesota Twins,142,1984-11-01,MLBHOF,Hall Of Fame,-,335
110290,Luis Aparicio,SS,Chicago White Sox,145,1984-11-01,MLBHOF,Hall Of Fame,-,341
121010,Pee Wee Reese,SS,Los Angeles Dodgers,119,1984-11-01,MLBHOF,Hall Of Fame,-,-
